#prog_id;prog_name;prog_desc;deg_id;sp_id
2;2D Animation and Games;The certificate in 2D Animation and Games prepares the student for entry-level positions in the fast-growing gaming and animation industry. The certificate develops within the sudent a dynamic, multidisciplinary skill set which fosters growth in both the visual arts and coding for games. The new media labs housed within the Multimedia Studies program are equipped with state-of-the-art computers, software, and monitors which allow the student to experience the tools that professional animators and game designers are using today.;2;737
3;Graphic Design;This program meets the lower division major preparation for a similar major at CSU, Chico. Visit website for details www.assist.org;3;737
4;Graphic Design for Print;In the Graphic Design program, students receive hands-on training in many areas of the visual communications field. Butte College offers a complete design and computer lab to aid in the development of job-related skills and techniques. Many of the instructors are working professionals who take time from their careers to teach. Their awareness of the demands of business and industry brings knowledge to the classroom of what is happening now in the field as well as future trends. The goal of the Butte College Graphic Design program is to prepare students for entry level positions. Students who successfully complete the program and plan to earn a four-year degree will have a solid foundation for application to the design school of their choice.The field of graphic design offers many opportunities and options for the creative individual who has worked hard to develop the necessary skills and techniques. Upon completion of the program the student will have a working familiarity with most aspects of these rapidly growing fields. The department highly recommends that the student entering the second year of the Graphic Design program have access outside of school to a computer with the Adobe Suite software.;4;737
5;Multimedia Studies;Multimedia Studies is a comprehensive program that recognizes the need to prepare the student for the world of work in today's high performance organization. This program delivers a dynamic, multidisciplinary, interactive, project-based curriculum designed to foster creativity, teamwork, and professionalism. While providing laboratory experiences for the development of skills in multimedia and related technical areas, the student will also develop competencies in workforce preparation, such as in portfolio development, communications, and high performance organization workplace skills. The Multimedia Studies Program New Media Lab is a state-of-the-art Macintosh-based multimedia lab equipped with industry standard computer and state-of-the-art multimedia applications. Students build a strong foundation of skills and knowledge graphic design, video, multimedia and animation, idea presentation, portfolio development, and an overview of the opportunities in Multimedia.All areas of the multimedia industry are experiencing unprecedented growth in order to meet the industry's needs. There is a constant demand for highly skilled, qualified, and knowledgeable workers, and the rapidly expanding growth of drone video and photography, and 3D printing technologies, is creating a need for workers with these skills.;4;737
6;Multimedia Studies;See AS Degree in Multimedia Studies.Gainful Employment InformationCertificate of Achievement in Multimedia Studies:www.butte.edu/curriculum/gainful-employment/0958200CA.html;6;737
7;3D Mechanical Applications;Error;2;716
8;Architectural Drafting and Modeling;Error;2;716
9;Drafting and CAD Technology;See AS Degree in Drafting and CAD TechnologyGainful Employment InformationCertificate of Achievement in Drafting and CAD Technology:www.butte.edu/curriculum/gainful-employment/0132400CA.html;6;716
10;Drafting and CAD Technology;The Drafting and CAD Technology program is designed to prepare students to meet the drafting requirements of industry. The diversity of the program allows students to pursue a career with a variety of companies that employ drafters. The program can be arranged to earn either a Certificate of Achievement or an AS degree.In CAD and solids modeling, students will discover real-world connections for their interests in math and science, and through hands-on activities improve their skills and become more confident. A year or more of high school drafting is very beneficial. Students need to be neat, methodical, and have an aptitude for spatial thinking. Students who are still enrolled in high school and who are considering a career as a drafter are encouraged to take courses in trigonometry, physical science, and computer science. Students who complete this program will be able to prepare drawings for individuals and companies in the architectural, civil engineering, construction, and manufacturing technology fields. Students will gain extensive experience using computer aided drafting (CAD) techniques. Students will also have experience reading construction drawings and interpreting specifications.;4;716
11;Account Clerk;See AS Degree in Accounting.;2;699
12;Accounting;Students planning an accounting career should be detail-oriented, be able to analyze and interpret facts and figures quickly and accurately, and make sound decisions. They must also be able to communicate the results. Patience, persistence, self-discipline, and concentration are essential. High school students considering an accounting career are encouraged to take English, mathematics, computer, accounting, and related business courses.The Accounting program is designed to enable students to: set up, complete, adjust, and summarize records of business activities according to accepted accounting principles and techniques, use accounting information to enhance business planning, decision making, problem solving, and management control, and apply both financial and managerial accounting principles and techniques.  Accounting employment opportunities are expected to increase faster than for many other occupations due to pressure on business and governmental agencies to improve their financial accountability. Demand for skilled accountants will rise as managers rely more on accounting information to make decisions. Knowledge of basic computer applications is essential.;4;699
13;Accounting;See AS Degree in Accounting.Gainful Employment InformationCertificate of Achievement in Accounting:www.butte.edu/curriculum/gainful-employment/0130800CA.html;6;699
14;Tax Preparer;The requirements for becoming a licensed tax preparer and the rules and regulations governing licensed tax preparers are reviewed. Students planning an accounting career should be detail-oriented, be able to analyze and interpret facts and figures quickly and accurately, and make sound decisions. They must also be able to communicate the results. Patience, persistence, self-discipline, and concentration are essential.Students who complete this certificate are eligible to assist tax professionals in an accounting office, a financial institution, an enrolled agent's office, the Internal Revenue Service, the California State Franchise Tax Board, or a state licensed tax preparer's office.;2;699
15;Acute Care Nurse Assistant;Error;2;740
16;Certified Nursing Assistant;The Certified Nursing Assistant/Home Health Aide program is designed to prepare students for state certification as a Nursing Assistant. Successful completion of the program makes students eligible to take the written and manual skills test for state certification. The rapidly growing need for skilled health personnel provides good employment opportunities for Certified Nursing Assistants and Home Health Aides. Positions are found in general and convalescent hospitals, physicans' offices, private homes, community health agencies and in industry.;2;740
17;Home Health Aide;Error;2;740
18;Licensed Vocational Nursing;See AS Degree in Licensed Vocational Nursing.Gainful Employment InformationCertificate of Achievement in Licensed Vocational Nursing:www.butte.edu/curriculum/gainful-employment/0134000CA.html;6;740
19;Licensed Vocational Nursing;The Licensed Vocational Nursing program is a state approved vocational program which provides the curriculum necessary for an individual to qualify for the state board examination for licensure as a vocational nurse. The curriculum includes prerequisite courses and the equivalent of three academic semesters of nursing theory and supervised clinical experiences. The primary role of the licensed vocational nurse is to provide bedside nursing in a variety of clinical settings. The student will study common medical-surgical conditions, their origin, prevention and treatment emphasizing the related nursing care. To help the student provide individualized nursing care, other courses provide basic psychology and sociology concepts relevant to the development, motivation and reactions of people healthy and ill.The rapidly growing need for skilled health personnel provides good employment opportunities for the Licensed Vocational Nurse. Positions are found in general and convalescent hospitals, physicians' offices, private homes, community health agencies and in industry.;4;740
20;Registered Nursing;The two-year traditional Registered Nursing Associate Degree program prepares the student for licensure as an RN at the Associate Degree Nursing (ADN) level. The four-semester program provides theory and clinical content required for registered nursing licensure. Upon completion of the degree, the student will be eligible for the national/state licensure examination for registered nursing.A registered nurse can seek employment in a variety of settings: acute care hospital, community/home health care, skilled and long term care, clinics, physician offices, and any number of private industries that interface with health care delivery. A national shortage of registered nurses is predicted for the next two decades.;4;740
21;Registered Nursing: LVN to ADN;See AS Degree in Registered Nursing: LVN to ADN.Gainful Employment InformationCertificate of Achievement in Registered Nursing: LVN to ADN:www.butte.edu/curriculum/gainful-employment/2000500CA.html;6;740
22;Registered Nursing: LVN to ADN;The AS in Registered Nursing: LVN to ADN program prepares LVNs for licensure as RNs at the Associate Degree level (ADN). Training as a vocational nurse and prerequisite courses count as the first year of a traditional  two-year Associate Degree registered nursing program. The two semesters of clinical nursing provide the additional nursing content required for a registered nursing licensure.Upon completion of the program the student will be eligible for the national/state licensure examination for registered nurses. A registered nurse can seek employment in a variety of settings: acute hospital care, community/home health care, skilled and long term care, clinics, physician's offices, as well as private industries that interface with health care delivery. A national shortage of registered nurses is predicted for the next two decades.;4;740
23;Administration of Justice;See AS Degree in Admininistration of JusticeGainful Employment InformationCertificate of Achievement in Administration of Justicehttp://www.butte.edu/departments/curriculum/gainful-employment/0726900CA.html;6;700
24;Administration of Justice;The Administration of Justice program, with an emphasis in law enforcement, provides students with the skills and knowledge to assist them in obtaining employment in a variety of areas, including law enforcement, corrections, probation, and fish and wildlife.  Those already working in law enforcement may take courses at Butte College to enhance their chances for promotional advancement.  Students need competency in reading and writing. High school students should take courses in speech, English composition and basic math. Students in this program will improve their ability to read, write, and analyze situations.  Students also will gain a basic understanding of California laws and case law. The AS degree should be considered a step towards a higher degree or specialized instruction. Students who complete the two-year AS degree will have the knowledge and skills to assist them in seeking employment in many different areas of law enforcement.There are many job opportunities available in federal, state, county and municipal law enforcement. Employment is also available in state and local correctional facilities and county probation offices. To compete successfully with other law enforcement applicants, individuals must be well trained and have a broad educational background. Most positions require at least an Associate's degree.;4;700
25;Administration of Justice;Students completing Associate Degrees for Transfer are guaranteed admission to the CSU system. Please see the beginning of the Academic Programs section for details.;25;700
26;Court Personnel/Pre-law;This program is designed around a core of law-related courses. From this basic core, a student can expand into a number of specialized areas such as pre-law, court personnel, paralegal, law enforcement, public administration, social welfare, and probation. Students entering the program should have a high level of reading and writing ability. It is recommended that students still in high school concentrate on English and business skills. The AS degree should be considered a step towards a higher degree or specialized instruction.There are many opportunities available including: positions in a private law firm, district attorney's office, court, social welfare agency, educational institution and all law enforcement-related offices.;4;700
27;Court Personnel/Pre-law;See AS Degree in Court Personnel/Pre-lawGainful Employment InformationCertificate of Achievement in Court Personnel/Pre-law:www.butte.edu/curriculum/gainful-employment/1113600CA.html;6;700
28;Criminal Justice;The Criminal Justice degree is designed for students who plan to earn a Bachelor's degree in Criminal Justice or related fields at CSU, Chico. This transfer major may also serve as the basis for students who are interested in pre-law. Visit website for details www.assist.org;4;700
29;Agricultural Business;This program meets the lower division major preparation for a similar major at CSU, Chico. Visit website for details www.assist.org;4;703
30;Agriculture Business;The Agriculture Business program provides the student with employable skills and provides a framework for further study if desired. Course work is practical and broad-based. Emphasis is placed on the development of skills in business management, marketing, finance, computers, human relations, and agricultural accounting. The computer labs, campus farm, and greenhouses provide an ideal setting for hands on learning. To gain practical experience on and off campus internships are available. Numerous area agriculture businesses provide opportunities for field trips, internships, and employment. Student clubs such as the Agriculture Ambassadors provide opportunities for leadership development and community service.A career in Agriculture Business is both financially rewarding and personally challenging. For job seekers, it is probably the most readily available entry-level position in the agriculture industry. Numerous specialized companies throughout northern California require qualified persons for marketing, sales, finance, policy, government, farm ranch management, and international trade and development. For job entry and advancement, however, certain basic skills remain fundamental. These include proficiency in computers, record keeping, finance, management and marketing. The following is a list of possible agriculture business career opportunities: Bookkeeper, Business Manager, Business Owner, Commodity Broker, Community Development, Consultant, Equipment Dealer, Farm and Ranch Manager, International Development Specialist, Insurance Agent, Land Appraiser, Livestock buyer, Loan Officer, Management Specialist, Produce Buyer, Public Relations, Retail Sales and Sales Representative.;4;703
31;Agriculture Business;The Certificate of Achievement in Agriculture Business prepares students for entry level employment within the industry.  Additionally, the certificate provides opportunities for skills enhancement for those with previous experience in agriculture business or those looking to supplement related degrees that benefit from a business focus. Upon completion of the Certificate of Achievement, students will have increased their knowledge of the agriculture industry while having gained experience with fundamental concepts of business management, economics and accounting and production practices as they relate to the agricultural industry.Gainful Employment InformationCertificate of Achievement in Agriculture Business:www.butte.edu/curriculum/gainful-employment/0129800CA.html;6;703
32;Agriculture Business;Students completing Associate Degrees for Transfer are guaranteed admission to the CSU system. Please see the beginning of the Academic Programs section for details.;25;703
33;Agriculture Plant Science;Students completing Associate Degrees for Transfer are guaranteed admission to the CSU system. Please see the beginning of the Academic Programs section for details.During the next five years, U.S. college graduates will find good employment opportunities if they have expertise in food, agriculture, renewable natural resources, or the environment. An average of 35,400 new U.S. graduates with expertise in food, agriculture, renewable natural resources, or the environment are expected to fill 61% of the expected 57,900 average annual openings. Fewer graduates typically mean higher salaries, which start in the mid-$40k to $50k annually.;25;724
34;Environmental Horticulture;See AS Degree in Environmental Horticulture.Gainful Employment InformationCertificate of Achievement in Environmental Horticulture:www.butte.edu/curriculum/gainful-employment/0725800CA.html;6;724
35;Environmental Horticulture;The courses in environmental horticulture are designed to enable students to prepare for exciting careers in the essential and diverse horticulture profession or earn continuing education units (CEUs) for professional licenses. Career options include nursery and greenhouse management, retail garden centers, supply and equipment sales, commercial fruit and nut production, irrigation and landscape design, installation and maintenance, plant protection, interior landscaping, and ag education.Students who complete this program can expect greater opportunities in salaries and enhances an individual's opportunity to advance into supervisory positions. A two- or four-year degree is a job requirement in some businesses and government agencies.;4;724
36;Landscape/Turfgrass Technician;This certificate prepares students for employment in the California horticulture and landscape contracting industries by providing practical, hands-on experience and preparation for employable technical skill training in the field of professional residential landscape design, development, and maintenance. This program is designed to give students basic skills in irrigation design, repair, installation, water management, and small equipment operation.Gainful Employment InformationCertificate of Achievement in Landscape/Turfgrass Technician:www.butte.edu/curriculum/gainful-employment/0130200CA.html;6;724
37;Nursery Technician;This Nursery Technician certificate provides students with the practical, hands-on experience they need to pursue employment in the areas of plant production, maintenance, or sales of ornamental and/or food crops in California. This program prepares students to advance to management positions in greenhouse and nursery businesses that propagate, grow and market plants for use in the home, business or the landscape. The program provides a solid foundation in plant knowledge and nursery and garden center environments, as well as computer applications and management skills.Gainful Employment InformationCertificate of Achievement in Nursery Technician:www.butte.edu/curriculum/gainful-employment/0725701CA.html;6;724
38;Plant Protection;This certificate prepares candidates for the California State Agricultural Pest Control Adviser (PCA) License examinations and Qualified Applicator License exams. It meets the minimum educational qualifications, and prepares students for exams in IPM principles, laws and regulations, pest identification, physical and biological sciences, crop health, pest management systems and methods, and production systems. Technical experience is highly encouraged through work experience placement.PCAs have a rewarding career and earn a competitive salary. They have several career avenues to choose from such as state agencies, corporations, sole proprietary companies, and academic professions. There has never been a better time to enter the crop protection industry.Gainful Employment InformationCertificate of Achievement in Plant Protection:www.butte.edu/curriculum/gainful-employment/3151200CA.html;6;724
39;Agriculture Science;The Agriculture Science program offers an AS degree for those students interested in a more general course of study. Students with a background in production agriculture, 4-H or FFA will find success in this program as they pursue a career with an emphasis in agriculture sciences, agriculture education, and agribusiness occupations. California ranks first in the nation in annual gross agricultural returns. The livestock industry and over 250 specialty crops provide a variety of career choices. Trained personnel are employed on ranches and farms, as well as the vast agriculture service industry. Career opportunities also exist with governmental agencies. Every year there are several openings in Agriculture Education in California as well as other states.;4;704
40;Agriculture and Natural Resources;This program meets the lower division major preparation for a similar major at CSU, Chico. Visit website for details www.assist.org;4;704
41;Anthropology;Students completing Associate Degrees for Transfer are guaranteed admission to the CSU system. Please see the beginning of the Academic Programs section for details. Anthropology is the study of humans worldwide, both in the past and present. The program is designed to introduce students to culture as the core concept for understanding human behavior. The four subfields of anthropology (physical, archaeological, linguistics and cultural) are used as a foundation to examine varied perspectives about the world. Anthropology students graduate with an awareness of cultural and biological diversity and the complexity of past and contemporary societies. The degree offers courses required in the CSU, Chico major core program, in addition to courses approved for CSU General Education.The program in anthropology is designed to prepare students for a variety of exciting careers, which may include education, research, medicine, business, non-profit and public service fields. As an example, anthropologists may be employed on international research teams, such as with Centers for Disease Control and Prevention scientists working to control Ebola outbreaks in West Africa. Anthropologists may also be employed as resident scientists at the Intel Corporation or as curation specialists in the US Army Corps of Engineers. Numerous anthropological skills, such as the ability to think critically and creatively about the world and the ability to apply research methods to solve problems, translate to various employment sectors. For more information on possible careers, please visit the American Anthropology Association's Careers in Anthropology webpage, http://www.americananthro.org/AdvanceYourCareer/Content.aspx?ItemNumber=1783;41;705
42;Art History;Students completing Associate Degrees for Transfer are guaranteed admission to the CSU system. Please see the beginning of the Academic Programs section for details.;41;706
43;Arts;This program meets the lower division major preparation for a similar major at CSU, Chico. Visit website for details www.assist.org;3;706
44;Ceramics;See AA Degree in CeramicsGainful Employment InformationCertificate of Achievement in Ceramicshttp://www.butte.edu/departments/curriculum/gainful-employment/1112800CA.html;6;706
45;Ceramics;The Ceramics program offers a solid foundation in the technical and aesthetic aspects of the medium. Students are taught the importance of minute details as well as overall excellence. Many specific skills are emphasized including handbuilding, wheel throwing, clay and glaze chemistry, mold making, kiln firings, and the specialized techniques of raku and primitive firings. Students have access to a fully equipped studio and have the opportunity to learn the operational requirements of the facility. Although ceramics as an art medium is emphasized, students also study the inter-relationship between industry, business and ceramics. The program offers a well rounded art education including the ability to install exhibitions. A working portfolio for employment purposes is developed. The Ceramics Department offers courses which satisfy lower division requirements in many of the CSUs.Many job opportunities exist for the individual proficient in ceramics. These include, but are not limited to: artist, art teacher or therapist, self-employed craft-person, mold maker, glaze technician, ceramic restorer, industrial ceramist, gallery or art shop manager, museum employee, interior design specialist, tile decorator, dental ceramist, and production designer. Students interested in pursuing a four-year degree are provided with a strong foundation for further coursework.;3;706
46;Studio Arts;Students completing Associate Degrees for Transfer are guaranteed admission to the CSU system. Please see the beginning of the Academic Programs section for details.;41;706
47;Automotive Technology;See AS Degree in Automotive Technology.Gainful Employment InformationCertificate of Achievement in Automotive Technology:www.butte.edu/curriculum/gainful-employment/0132300CA.html;6;707
48;Automotive Technology;The Butte College Automotive Technology program is an ASE/NATEF certified school and is designed to prepare students for employment as automotive technicians in both dealerships and independent garages. All automotive classes are offered at the Skyway Center in Chico. The Skyway Center is a modern facility and completely outfitted with the power and hand tools needed to hone the student's skills. The goal of the department is to train highly-skilled entry-level technicians with work habits that will make them successful. The Automotive Department has partnered with American Honda and Subaru. This allows for make specific training and certification via the PACT Program (Honda and Acura) and Subaru.Automotive career opportunities  are offered nation wide along with paid internships for Honda PACT students. Help with job placement is available for successful students. For Career information please refer to our website: www.butte.edu/departments/careertech/automotive;4;707
49;BASIC 32;Student will gain fundamental knowledge of the factors affecting wildland fire behavior, control prevention, and firefighter safety for entry-level employment with a federal agency wildland firefighting crew.;2;726
50;Fire Technology;See AS Degree in Fire Technology.Gainful Employment InformationCertificate of Achievement in Fire Technology:www.butte.edu/curriculum/gainful-employment/0136200CA.html;6;726
51;Fire Technology;The Fire Technology program is designed to give students the knowledge to pursue a career in fire science. Students will gain a broad working knowledge of building inspection and the many aspects of municipal and wildland firefighting. The AS should be considered a step toward a higher degree or specialized instruction. Students who complete the two-year A.S. degree will be able to seek employment in many different areas including careers in firefighting, building inspection and fire prevention.Students interested in a fire science career have two options: the 20-week Firefighter I Academy or the two-year AS degree program.;4;726
52;Firefighter I Academy;The Firefighter I Academy is a special admission academy that is offered twice each year (Fall and Spring) as a 20 week program, 8 hours daily. Accredited by the California State Fire Marshal (CSFM) and the State Board of Fire Services as an Accredited Regional Fire Academy, the Butte College Firefighter I Academy is considered to be one of the premier fire academies in the country. Our Academy graduates have secured fire service positions in agencies from coast to coast. The majority of fire agencies in California require both a CSFM Firefighter I certificate and an EMT-Basic certificate to qualify for a position as a firefighter. The Butte College Firefighter I Academy far exceeds these requirements. Physical conditioning is an important concern in the fire service. During the Academy, cadets receive more than 100 hours of combined physical fitness and agility course training by certified physical fitness instructors, Graduates will not only be in good physical condition, but will also be prepared for the difficult, varied and competitive fire service physical agility entry-level testing. For more detailed information or to apply to the Butte College Firefighter I Academy, please visit our website at: http://www.butte.edu/departments/careertech/publicsafety/fire_academy.html.The Firefighter I Academy prepares students for successful completion of the Firefighter I Certificate issued by the California Office of State Fire Marshal and to enter into the workforce as entry level firefighters.Students should be in good physical condition. Academy applicants are required to pass reading and writing tests. A basic understanding of chemistry and competence in mathematics is desirable. Students who are still enrolled in high school and considering a career in fire science are encouraged to take classes in reading, writing, mathematics and chemistry.Gainful Employment InformationCertificate of Achievement in Firefighter I Academy:http://www.butte.edu/departments/curriculum/gainful-employment/3284100CA.html;6;726
53;Incident Command-Finance;The Certificate in Incident Command-Finance will prepare the student foundationally to assume basic command of an incident and supervision of public safety personnel in general. Completion of the Finance classes will specifically prepare the student to handle any public safety incident purchasing and to assume roles in the Finance Section of an ICS organization as Cost Unit Leader, Compensation/Claims Unit Leader, Time Unit Leader and Procurement Unit Leader. Completion of this certificate will also help in preparing the student for advancement to Finance Section Chief in the ICS.;2;726
54;Incident Command-Logistics;The Certificate in Incident Command - Logistics will prepare the student foundationally to assume basic command of an incident and supervision of public safety personnel in general. Completion of the Logistics classes will specifically prepare the student to assume roles in the Logistics Section of an ICS organization as Facilities Unit Leader, Ground Support Unit Leader, Supply Unit Leader and Medical Unit Leader. Completion of this certificate will also help in preparing the student for advancement to Logistics Section Chief in the ICS.;2;726
55;Incident Command-Operations;The Certificate in Incident Command - Operations will prepare the student foundationally to assume basic command of an incident and to supervise public safety personnel in general. Completion of the Operations classes will specifically prepare the student to assume a high level of responsibility in assisting with incident management, to assume roles in the Operations Section of an ICS organization asTask Force/Strike Team Leader or Division/GroupSupervisor, and to perform advanced wildland fire behavior calculations for use in fire incident management. Completion of this certificate will also help in preparing the student for advancement to Operations Section Chief in the ICS.;2;726
56;Incident Command-Planning;The Certificate in Incident Command - Planning will prepare the student foundationally to assume basic command of an incident and to supervise public safety personnel in general. Completion of the Planning classes will specifically prepare the student to handle any public safety incident purchasing and to assume roles in the Planning Section of an ICS organization as Documentation Unit Leader, Field Observer/Display Processor, Situation Unit Leader and Demobilization/Resource Unit Leader. Completion of this certificate will also help in preparing the student for advancement to Planning Section Chief in the ICS.;2;726
57;Basic Computer Competency;This is typically a one-semester program. Upon completion, students will be able to apply their knowledge of basic computer operations, use input technology, and apply knowledge of file management and their operating system. They will be able to identify and describe current technologies used in today's businesses and apply these technologies to solve business problems, improve organizational productivity, and achieve the goals of business.  For eligibility, students are expected to demonstrate a minimum keyboarding skill of 25 words per minute.;2;710
58;Business Information Worker;This is the second tier of the Business Information Worker (BIW) career pathway.  Students completing this next level of certificate will take courses that are designed to build on their BIW solid foundation and allow students an opportunity to become proficient in the in-demand knowledge and skills sought out by employers.Career related fields include office and administrative support workers, administrative assistants, receptionists, office specialists,  customer service representatives, general office and information clerks, and file clerks. This certificate of achievement can be completed in one year.Gainful Employment InformationCertificate of Achievement in Business Information Worker:http://www.butte.edu/departments/curriculum/gainful-employment/0131302CA.html;6;710
59;Business Information Worker;This is the first tier of the Business Information Worker (BIW) career pathway. Students completing this beginning certificate will take courses that are designed to provide students with a solid foundation in business communicatio, business mat, professional development, keyboarding, Microsoft Windows, Word, Excel, Access, and Outlook, and additional business technology tools including collaboration tools.Career related fields include administrative assistants, office workers, office specialists, and customer service representatives. This certificate can be completed in one semester.;2;710
60;Business Information Worker;The Business Information Worker (BIW) program is a two-tiered, structured career pathway for students who are interested in entering the exciting and diverse career field of office and administrative support. Butte College's BIW pathway is aligned with a California statewide program that collaborated with businesses and advisory committees across the state to identify the most in-demand and desirable knowledge and skills required of today's business information workers. Additionally, this pathway clearly communicates to students what skills they need to be successful in today's businesses, as well as provides a branded BIW pathway for businesses to quickly recognize on resumes. Please visit the ICT-DM.NET./BIW site to obtain more information and locate support resources for this pathway.Students graduating from the BIW program, gain proficiency in business communication, professional development, records management, technology tools used to support businesses to achieve goals, such as Microsoft Office applications, collaboration tools, and desktop publishing applications. Career related fields for the BIW include office and administrative support workers, administrative assistants, receptionists, office specialists,  customer service representatives, general office and information clerks, and file clerks. Students interested in earning an AS degree in BIW will have successfully completed the BIW Certificate and the BIW Certificate of Achievement along with general education requirements and any electives required. Taken full-time, this program can be completed in two years.;4;710
61;Legal Office Administration;This is the first tier of the Legal Office Administration (LOA) career pathway. Students completing this beginning certificate will take courses that are designed to provide students with a solid foundation in beginning legal office procedures, business communications, professional development, keyboarding, Microsoft Windows, Word, Excel, Access, and Outlook, and additional business technology tools including collaboration tools.Career related fields for the LOA include Legal Administrative Assistant, Legal Assistant, Legal Staff Assistant, and Legal Office Assistant. This certificate can be completed in one semester.;2;710
62;Legal Office Administration;The Legal Office Administration (LOA) program is a two-tiered, structured career pathway for students who are interested in entering into the challenging and highly specialized field of legal office support. Employers in the law field are looking for support personnel who have knowledge in the area of legal office procedures, processes, and research, as well as general knowledge of office administration. The LOA program is designed to meet the demands of employers and the needs of an increasingly global and technologically advancing legal industry.As a career, the highly specialized legal field offers employment in areas such as criminal, family, probate, civil, real estate, environmental, corporate, public interest, and intellectual property law.  The legal office professional's job duties may include preparing legal forms such as complaints, motions, subpoenas, affidavits, and briefs, processing legal documents, assisting with legal research, filing court papers, preparing legal communications, utilizing various office technologies, auditing financial records, scheduling meetings and calendaring court dates, handling confidential information, and taking notes on proceedings. Students graduating from the LOA program gain proficiency in beginning and advanced legal office procedures, legal research, the legal environment of business, business communication, professional development, records management, and the technology tools used to support businesses to achieve goals, such as Microsoft Office applications, collaboration tools, and adobe acrobat. Throughout the program, students are exposed to a wide variety of hands-on practical applications with an emphasis on organizational, critical thinking and problem-solving skills.Career related fields for the LOA include Legal Administrative Assistant, Legal Assistant, Legal Staff Assistant, and Legal Office Assistant. Students interested in earning an AS degree in LOA will have successfully completed the LOA Certificate and the LOA Certificate of Achievement along with general education requirements and any electives required. Taken full-time, this program can be completed in two years.;4;710
63;Legal Office Administration;This is the second tier of the Legal Office Administration (LOA) career pathway.  Students completing this next level of certificate will take courses that are designed to build on their LOA solid foundation and allow students an opportunity to become proficient in the in-demand knowledge and skills sought out by employers. Career related fields for the LOA include Legal Administrative Assistant, Legal Assistant, Legal Staff Assistant, and Legal Office Assistant. This Certificate of Achievement can be completed in one year.Gainful Employment InformationCertificate of Achievement in Legal Office Administration:www.butte.edu/curriculum/gainful-employment/0131401CA.html;6;710
64;Medical Office Administration;This is the second tier of the Medical Office Administration (MOA) career pathway. Students completing this next level of certificate will take courses that are designed to build on their MOA solid foundation and allow students an opportunity to become proficient in the in-demand knowledge and skills sought out by the healthcare industry. Career related fields for the MOA include Medical Office Receptionist, Medical Office Assistant, Front Office Representative, Medical Records Administrative Assistant, Insurance Verification Specialist, and Medical Intake Specialist. This certificate of achievement can be completed in one year.Gainful Employment InformationCertificate of Achievement in Medical Office Administration:www.butte.edu/curriculum/gainful-employment/0131501CA.html;6;710
65;Medical Office Administration;The Medical Office Administration (MOA) program is a two-tiered, structured career pathway for students who are interested in providing office support in the exciting and demanding healthcare industry. The MOA career pathway is a blend of three major areas: the advancing field of health information management (HIM), the ever-emerging field of business technology, and the constantly in-demand communication and professional skills, and it is designed to prepare students with the knowledge and skills required of today's medical office support personnel. The types of healthcare delivery systems in the United States today vary depending on the services being offered. These systems include outpatient healthcare (a physician's office, a dentist's office, and many other types of healthcare providers' facilities) and inpatient healthcare (general medical and surgical hospitals). These systems can be complex in purpose and structure. However, all healthcare organizations demand a common set of knowledge and skills from their medical office support personnel, which includes a broad understanding of healthcare delivery systems, health information management systems and practices, proficient technology skills, and a high-level of professionalism.To meet these demands, the MOA career pathway includes courses in healthcare delivery systems, health information management systems, human systems, medical terminology, electronic health records, healthcare law and ethics, healthcare coding systems, healthcare reimbursement methodologies, electronic health records, Microsoft Office Applications (Word, Excel, PowerPoint, and Access), collaboration tools, business communication, and professional development. Career related fields for the MOA include Medical Office Receptionist, Medical Office Assistant, Front Office Representative, Medical Records Administrative Assistant, Insurance Verification Specialist, and Medical Intake Specialist. In the workplace, students can expect to perform medical office support duties including scheduling appointments, compiling and recording medical charts, reports, and correspondenc, and coding health record, and billing patients. Students interested in earning an AS degree in MOA will have successfully completed the MOA Certificate and the MOA Certificate of Achievement along with general education requirements and any electives required. Taken full time, this program can be completed in two years.;4;710
